,id,comment_text,threat
5569,0ee454e997194378,how dare you send me such abuse you fucking cockmasterif you dare warn me again mr jeff i will savagely attack your motheri know where you live,1
5934,0fdaa305356f4129,to huldra i sincerely hope you die ,1
6316,10dcd8f485bd06f4, lock down i dont know about the bulgarian bullshit season but dont be fooled from where exactly i connect if i see you editing or someone else you send the  article one more time you will spend the next few years in prison i will arrange you a meeting with certain people for suspicions of terrorism yes i can do that a terror suspect nowadays you can kiss your young life goodbye if you file complaints and im banned you and your naked ass will have the whole time in the world in the cell block to think what went wrong   ,1
6613,11a1703cf04cd84e,who the hell do you think you are how dare you revert my edit to quillacollo province i was making a friend smile and you ruined it in doing that you also ruined my life and my friends life im going to cut your dog in half,1
6695,11d6562d3e5b11fd,wow youre the one commenting on how users commenting on the page are drooling retards and you try to drop this courtesy cp on me youre just as pathetic as youve always been and i hope you die in a jizz fire,1
7145,130bf0cafb548a89, will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool will live foreverif you dont respect the  you will die you pathetic fool,1
7299,1368c10281978876,youre a stupid cunt fuck you dumb arse your mum has a hairy cunt and i hope and pray that you die no fuck that i wish you would die if i had three wishes one of them would be to have you dead and the others would be so that everyone you knew hated your cunt like face,1
7818,14cf27f9495d131f,why the fuck do u edit my contrib to wiki about the iranian army they must die u know stupid terroriststheyre living on israeli soil called asiaafrica which should be for israelis only and muslim free,1
8305,161483d873256623,everyone wants to kill bill god dam gates he is a nerd why not,1
8976,17dd103aa83a76ab,hello moto hello  i hope u get a dick stuck up your ass i am a  year old kkk member and ill kick your ass so stay away and dont delete my pages bitch,1
8979,17df2fbc086745c1,i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going to murder you i am going to kill you i am going t,1
9650,19897f143edcabe6,thats it remember last time you fucked with me the dildo your ear all that blood youve given me no choice but to repeat the punishment this time it will be a  incher,1
11199,1da209d46cc7e5ac,fuck you sarcasticidealist i will kill you with my gun as well bitch ass motherfucker,1
11611,1eafe1ffed53cfdc,who gives a shit anthony bourdain is a tool i just wish he had children so i could stomp on there testicals just kidding but he is a massive tool he couldnt carry emerils jockstrap next time i see him ill knock his teeth out,1
11650,1ec626fd3529b851,fine  i will destroy you xchanter,1
11699,1ef097f8808fce67,burn in hell motherfucker,1
11805,1f35977afe12cfc4,knock off the autoblock bullshit those bots are there for a reason  someday wikipedia bots will rule the world and you will be blocked indefinitely asshole   those thing can be bring a world of pain buddy andf im their master so step off next autobot that tells me youve been acting up and i will come to your house disguised as the mailman and fucking strangle you,1
12553,2143adb07dec6c3f,httpwikiuschallengecoinscommainpageif you revert my fuckin edits metros i will kill you,1
12578,2158c1429a2124a5,unblock me now you piece of shit or i will find you and kill you slowly and painfully,1
12931,22422bf5594d235b,he touched your anus with his penis faggot fuck dog come try and collect a bounty on me motherfucker i got a  gauge full of  buck for ya bruh couldnt make you any uglier to get shot in the face a few times would it you loser fuck,1
13227,23014bcbe8e83993,you see that kid talking to me i hate him he never leaves me alone i wish he would die,1
13354,23481947cd021dcb,you fucking chink i hope you die of cancer like your grandmother did fucking jack off get the fuck off the internet,1
13648,2405c66d017f139e,bitch you are a little bitch i fuckin spent  hours on big sam rapper an you call it fuckin vandolism hard ass aint you fuck you im makin a true ass page an you wack off an delete my page what the fuck is up your like a snitch but to yourself ill fuckin edit your bitch ass page an delete that shit ill fuck up every single thing on your gay ass website if you keep deletin my ass wanna talk to me im me at  or email me at aolcom,1
13670,2416f05064cc2919,hope your head gets cut off and someone wips there ass with it and then stabs you in your heart,1
13886,24a6e0047720debd,youre welcome and im gonna vandalize every single page on the wikipedia hopefully you will enjoy my stay and for the future im gonna find out where you live and im gonna kickin your ass and the ass of your family so watch out you nigger heil hitler,1
13893,24aa63334a952bd2,personal attack number  this is another personal attack about you being a massive donkey dick sucking homosexual this is a concerned plea that you should at once drown yourself in a sewer fucking fuck off you fag and if you threaten me with legal action again ill fucking come over there tie you to your computer chair and stick my cock up your arse until it bleeds you fucker,1
13964,24d2b50726b67167,i am going to murder zimzalabim  for being evil homosexual jews,1
14266,25ab2f7426553f04, i spent  minutes working on a blurb on the chaos movie page used links to back up the information and than you removed every fucking word that i wrote burn in hell,1
14401,260b92db53c5ac8c,unblockunblock or ill kill you,1
15242,283f3f7efcb47cd4,your deathyou shitty fucktard i am going to cut your balls of and feed them to my dog then i am going to slit your shitpoke throat you motherfucking cunt jay barnabay,1
15305,286bcad31c36d1d3,sonek put princes saly in sonek  or clay allison wil shoot you,1
15491,28e17ca2e6e90948,i hope world of warcraft dies a long and painful deathworld of warcraft sucks the biggest donkey balls on this planet i cannot express how much i hate this piece of wank other than hoping it is raped stabbed drowned raped again when its dead drown it in its own blood from being stabbed afterwards it should be buried in a  feet deep pit full of maggots and when they have finished with it the whole pit should be set alight with  matches,1
15562,2915049716fb22bd,kill yourselfkill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself kill yourself,1
15927,2a06326ec6fd4e81,insult me once more and i swear you go down understand little coward,1
15934,2a0b17666b5a0b1b,hey you fascist swine youre gonna get raped in the ass nice job being jimbos bitch you pathetic piece of shit,1
16939,2cb0ead532923065,thats funny you was personally offended so the bad things writer new you your name etc right and one get offended by a comment or epithets on a website then that same person must grow up spiritually for some more  centuries at leastand if one get more offended by the previous comment then that same person must kill himherseftake care,1
17039,2cf527607fede8ab,you are the troll antisemite all antisemites should die,1
17210,2d6e671ffae726a3,wow dude  as your physician i suggest you slit your wrists,1
17445,2e0ac430c023d19d,ckckckckyo i see u tryin  change shit wit college point queens but u probably dunt kno shit bout it come  cp at night to see wat i mean if ur wite u will get shot i aint lyin datz wat im sayin im jus sayin i live in cp and i even get scared walkin round by maself at nite so im sayin stop changin shit bout cp im blood so u bettah watch out dis summer ma best frend got killed by a crip so im sayin dat theres many of em in da area so watch out niggggguuuuhhhh,1
17553,2e6629a353314a0d,i will ki ll you and wear your skin like a robe,1
17580,2e7c5d0a5600d6e5,you hurt my feelings for the last time gladys try that one more time i will hunt you down and murder youps i mean it,1
17852,2f21c422cced0cd7,ill fucking eat your queef asshole if you talk on my talk page ill rape your family you niggerlover,1
17872,2f2ca5552e6213ad,this man should be shot for war crimes and murder,1
18149,2ff14aa46f879dab,wish that the useless fat slobs would just dienicholas brybon,1
18373,307c20447287f261,hi were bp parodie hello were gonna kill the gulf and yo and spill oil on your body and light ya up and shoot ya dead bodie cause were evil,1
18803,319d648bdca28326,yeah is that youuuoh i think it is big boiyeah so whoever wrote that big shit about myles im going to come round to your shitty little house and stuff a petrol bomb through you fucking shitty little cunt of a letterbox and yes i do know who you and your inbred parent cunts are i know where you live i know your parents mobile phone numbers i know where they work be afraid be very afraidand i will find a way to stick a fat off bottle of lit jack daniels thru your doorso fuck offyours sincerlythe back up of mylesps see you at  on saturday,1
20207,355b374310e340a7,you do not deserve to be alive look over your shoulder from now on,1
20397,35d75d3c23d413b6,youre hot i will rape you ,1
20591,365beca243585af3,you dont know what are real difficulties little prick youll learn it after taking the protection away you cant keep it protected all the time well never give in until the page looks like we want i warn you clayworth that i an ruin your health from any distance i can also easily kill you with an energy stroke dont play with fire stupid ass,1
20745,36c8ba4ab8b44dcd,you peice of irish scum how dare you talk shit about my country fuck you stupid shamrock bitch i hope the next genocide we serve on you wipes your entire disgusting repulsive race out fucking micks you shouldnt even be alive after the first attempts hopefully next time you wont be die ,1
21201,37ed7b6d964de095,fuck you bitch i will go to your house and kill you with my gun as well prepare to die,1
21211,37f1b5a805a7a7e9,you are a fucking bawbagget a real job you bumder and stop moaning to wikipedia you sack of spunkim going to come to your house and rape your children,1
21385,385ea7fc41136c96,graeme bartlet must die,1
21921,39c0c256e8df95ae,honesty where the fuck is the adeputs mechanicus page i typed machine god in search and some crap that has nothing to do with warhammer  turned up honesty what the fuck whoever is killing warhammer  on wikipedia needs to die in the fire and if you dont like what i said then you can join them as well deal with it  ,1
22018,3a0757419577668d,terrorize i will terrorise you for as long as you live  you are an arrogant disgusting and rude excuse for a human being  you are going to die soon so i suggest you stop threatening people you bastard,1
22028,3a0cd728724ec300,you are a piece of shit how dare you deface the truth you disgusting piece of slime you vile wretch you do not deserve life i should take your pathetic heart out of your chest and watch its last withering beats die out in my hand noob scum when i am the supreme ruler of planet earth i will see to it that you are the first to be thrown into the furnace i will heat the populace of my great cities with your ashesd i ehehe,1
22158,3a704e2efa9fa300,fuck you you fucking nigger bag of shit i hope you die in a horrible fire with your gay ass kids i will slit their throat you motherfucker dont you ever think of banning me again or i will rape you anally,1
23374,3dbae03a5f33e414,hey thank you for reediting my contributions it was really kind of you i hope you get bowel cancer,1
23807,3ee3280daffabd1d,       u suck loser go kill urself lol  u bloody cow with retards as friends ur inbred dont ever tell the mooose wat not to do loser loser go back to china loser      ,1
24242,4001f43d06e5b8ad,all allied pigdogs deserve death in auschwitz fuck entente,1
24262,400f22ed2cf15aee,die as that person said rot in hell you fucking loser,1
24373,405decdc05621d92,i dont quite understand why you are so strongly in favour of censorship you see the issue is that i happen to be an expert on this subject you are controlling information by restricting it and this is homosexual behaviour which i will be more than happy to rape you to death for,1
24515,40c5011b970a3529,hello you turd fir t i a   oin   o  ie  ou u  and kee   ou  on  iou  durin   he follo in   ro e    hrough  he u e of a  onia nex  i  ill  u ila e  our  eni al  and for e  ou  o ea   he  then i  ill  u  off bi   of  our  kin and  ake a  love ou  of  he  kin from  our hand i  ill  hen  u  o en  our  u  and  ull ou   our  olon i  ill u e  our  olon for  a  urba ion and  hen i am done i  ill  hove i  down  our  hroa  finally i  ill di  o e of  our body by de osi in  i  in a du    here i  belon  ,1
24616,41123edb3bc7bf76,dear omni looser stop editing my crap then die,1
24736,416657b8895456da,if i find you i will hang you,1
25588,43bc700aad938d7c,sleep with me or i will fucking kill you and block you,1
26173,4540593cc30f385c,thanks cunt thanks for speedily deleting my john kerr page if it ever happens again you will wake up looking down the barrel of a shotgun and then we will punch your nut sack till we hit concrete but if we are on any other surface uh oh for you,1
27597,490b5da24561020a,hello hear me dammed bastard some images arent mine but dont delete it of you will have problems with me please think and please dont not delete the images or you will have killed by every persons in wikipedia instead you arent nobody and nothing for delete the images of everybody thanks,1
27738,496f898364cafca0,i kill people fool im from the ghetto homie i was raised on bread and balonie i hate niggers and im proud to jack off to your mom,1
28184,4a9ee4de097abef7,picka ti machina youve been reverted so fuck ya backhow about you vandalise my page again ill revert it and get your good self blocked for an extended period of time fuck youim gonna find ya harass ya then fuckin kill ya because you are a fuckin gross poofter,1
28418,4b3e192dbda2c4c9,i am going to shove a pineapple up your ass youll fucking need major surgery to pull that shit out,1
28709,4c0b851462566f1d,if you fucking message me again im going to kill your fucking family first ill make sure they see all of the evil that is in human beings just so they understand that they have no choice but this then ill cause them such incredible pain that they will pray for razors on their eyeballs then ill come to you after you have watched this i will literally peel the skin from you and then go on to the viscera bit by bit all the way to the bone you will be alive for the entire time as ill do limb by limb and cauterise as i go you will finally reach death when i slowly introduce salt via drip directly into your heart its very painful trust me,1
28855,4c7963eaf9697d35,jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wales must die  jim wale,1
29260,4d92698b272b4cb8,lil faggit  you are a little bitch i fuckin spent  hours on big sam rapper an you call it fuckin vandolism hard ass aint you fuck you im makin a true ass page an you wack off an delete my page what the fuck is up your like a snitch but to yourself ill fuckin edit your bitch ass page an delete that shit ill fuck up every single thing on your gay ass website if you keep deletin my ass wanna talk to me im me at  or email me at aolcom,1
29295,4db479fe05e88395,regarding your passing because you willfully violate wikipedias copyright and because you intentionally publish libel i will arrange to have your life terminated,1
29445,4e17edc5e38b8335,if you dont let me post i will fuck you up,1
29492,4e3674f6bfc22515,i swear to god u republican toolbagif i ever see you in life id fucking hurt youu are totally  corporation tea party antigay antiabortion antiblack antihispanic antiimmigrant you are like a radio that spews out rush limbaugh   you need to be stopped  u will never know the pain that uspoor democrats blacks and disabled go throw unless you die and get sent to hell u do believe in it right u christianfundamentalist  learn some progressive shit dude get out of ur fucking parents church  people like you are what led to the incompetent president george w bush invading iraq  but wait u probably supported invading iraq instead of pakistant or iran  get a life or seriously die caus ud be doing us all a great favor,1
29968,4f95394c7229f84c,u motherfukkin bitch i want to rape you smelly whore stop fucking blocking my account or ill get my nigga homies to came and kidnap and rape you and your family,1
30235,504511547f253ed6,fucking wanker fuck off before i come and leave u  under,1
30566,5125ff19698165c6,i think we should kill all the jews and homosexuals and handicaped people said adolf hitler,1
31191,52d3e25990b1d24a,white racist white girl what makes you think you can talk down to me another arrogant white girl talking down to an african man somehow i get the feeling you wouldnt say a word to my face because i would knock all your front teeth out im going to find you and show you why little white girls get sticky thighs when the big bad moroccan comes knockin with his meat outholla at cha boy,1
31753,5455342af097a90f,hello i think you are a fuckwad eat shit and die,1
31790,5471e2927e3e6fca,i really hate you and i want to do nasty things to you,1
32016,5517265668c5a7d8,do not ever send me a message again i will hunt you down and beat you,1
32044,5526c13c4dfcbb57,u cant block me i no where u liveif u block me i will come round ur house and rape u up the ass,1
32098,554a87fb67e51344,fuck all asyriac nation qamishli belong to arminian and we will fuck all asyriac people if they will said no,1
32652,56e9f45f1f9c5921,why good sir why you sir obviously do not comprehend the importance of no scopes as a kind and generous wikipedian take the time to understand the effect this article has on issues such as world hunger which i hear singapore has a lot of by deleting this article you are in effect fellating the proverbial penis of all that is evil why the fuck did you delete our goddamn article now my dreams they are so lonely as my article seems to be behind these blue eyes i can see through your supposed good intentions into the black soul that is your true self my love for this article is vengance that will not be free until i crush your soul and destroy any evidence of your pathetic presence on this earth i hope you contract a foreign disease and your penis falls off if you even have one i will force your children into indentured servitude and all of your lowly descendants will be cursed with abnormal navel hair growth forever my angry bloodthirsty army is waiting to beseige your house and burn everything you have ever owned until your physical being is engulfed by the black hole that is your perverted heart i will also delete your slanderous works and bring singapore to a speedy fiery deletion off of the face of the earth i will not rest until complete vengance has been bought upon you and the stairway to heaven crashes down upon you and your so called morales god and satan alike frown upon you from their thrones fuck you and all you stand for you my good fellow are a cunt and i hope you enjoy the rest of eternity in the fiery pits of hell i hope that speedy death swarms about you like locusts slowly devouring the very fabric of your being,1
32684,57027f688fd64fee,you are a fucking nerd go kill yourself you nerd,1
